19087,4772
10270,4476
1230,3243
5761,2590
-11412,-2154
27790,6382
968,1880
29443,10237
4326,4123
14281,6947
-23694,-4063
-11488,-3813
20414,1585
-10469,-1725
9459,3359
-5899,-1576
-2221,-199
-22108,-6339
-20815,-7637
16131,-259
-735,-652
-13090,-1733
-12537,-4517
14119,967
-921,-72
8413,3423
6499,2374
12390,4589
6562,3529
-21977,-3599
6145,-5
18435,3025
11938,5442
-38952,-6701
-4486,-3823
-5291,-5667
5210,325
-8375,-2102
-33,-325
26321,5739
13888,6101
4393,5119
-15130,-1955
-1155,-1363
2423,-1023
-9127,-2155
-5517,-2050
6803,236
25523,6509
-40047,-6779
-17993,-5951
18393,-1206
9530,2423
-4446,1681
6786,2205
-16021,-3771
-16736,-5107
5205,-1974
24840,5057
12279,6074
-8318,1632
14505,4022
-4065,-398
-11899,-1931
-7292,-3419
-10042,-4430
-3427,-2590
9210,956
-17431,-3779
5760,618
18563,3474
2458,3047
11520,4982
-859,1183
33071,9334
15141,7007
-29722,-2609
573,-1315
-29620,-10320
16846,1307
6465,339
10476,4950
14323,5275
28711,9658
-5244,2993
-2251,1784
10089,1773
16022,4789
-18274,-1957
-9012,-2478
653,-2565
-40679,-11006
18983,743
-16815,-6373
18899,4942
-12885,-3013
10401,3202
13442,3112
-2884,1663
9216,3360
-2088,111
9080,2983
-17979,-3796
-11982,-3885
23015,2758
-10162,-1437
3885,2257
-25999,-7127
-6578,-3856
-12627,-6414
-4304,-2996
15999,2307
16021,5175
19170,7994
2610,4172
8184,4224
-17291,-3243
-7385,-2757
20814,2736
14724,5024
7188,5351
-20436,-2918
5319,5
6391,86
-6638,-488
4789,1173
42040,10325
-7501,2808
-26392,-3144
-43737,-14324
-12447,-10125
-11055,-8382
-19197,-7149
33308,5302
15868,5378
10982,7663
6884,4406
-47067,-9980
27621,2887
458,-1830
-14779,-887
-33641,-9842
1460,-4477
34195,5331
5982,5061
13863,7483
-3023,1229
16887,5306
-25029,-4871
15810,3138
8621,1233
-3022,1687
3257,1374
26058,6538
527,3063
14568,6301
-21285,-3812
19375,4172
29777,7253
-9573,2522
-16559,-2119
-15737,-6547
11324,-399
-12429,-3549
-1589,-508
-23051,-7165
16889,1758
-12450,-3729
14322,4024
12470,3305
-2718,2000
4930,2208
-5283,-1100
-6036,-1544
18807,3570
679,1447
-17990,-2549
25669,4686
-17177,-3526
6926,2581
-13835,-4484
-5106,-1967
6518,-265
17200,4441
-5584,976
5510,2539
-3627,-914
273,257
-19536,-5219
-2157,-2466
24372,3924
-13710,-1206
-21315,-4263
25791,2945
19104,5224
12885,7711
-23947,-2788
25468,5261
-9790,-2295
-19834,-3391
-11513,-5841
5840,-1675
10693,2106
3534,2537
-4324,342
29531,7304
-10535,-113
1795,2348
-11781,-3819
6892,724
-31640,-8399
10818,230
-18064,-6598
-1687,-1146
-17364,-6316
-20293,-6978
-30953,-11504
-15951,-9112
3475,-3822
8085,774
25349,7493
10567,5985
-35199,-5208
-16857,-6677
-2320,-5785
-41398,-12267
-5128,-5654
-9726,-7084
5445,-124
9156,1861
14744,5146
-3292,1567
-3830,188
23755,5227
30083,9513
-6274,3815
2541,3016
-15805,-4324
635,-1168
12541,1618
-9741,-1118
2134,814
574,-617
-10235,-2288
-8844,-3177
30801,5792
-16447,-1916
-8150,-602
-24648,-8622
-1564,-3671
6500,-996
-8636,-1665
5645,1198
-11850,-3262
20778,4574
-512,765
12750,5214
35725,10155
7173,6641
21845,9751
4114,3930
-5087,1324
-15122,-3878
-6304,-3597
18976,2601
14131,4800
-16953,-927
-3157,-1071
-21295,-7335
5023,-1189
15876,2342
-12244,-971
-45810,-11089
11415,-2952
52542,9696
8782,8591
4890,7355
4654,2531
15723,4885
34203,10588
24980,11238
-3199,5119
283,2249
4036,717
-14000,-3068
18969,3746
2653,1160
25511,8540
-3171,2024
27055,8998
-31110,-5389
29860,7060
-24878,-6344
-17221,-3807
818,-4005
-23835,-7599
7644,-391
8936,615
21632,7066
-6627,1400
6856,3215
4053,1036
11536,3975
10354,4147
-16259,-1876
28946,6646
-6260,-296
-14933,-1465
-16320,-6199
19581,1770
-2612,-327
44303,12773
-3252,3356
-2317,3526
6738,1128
-19318,-4387
-4551,-2396
-25904,-8863
17187,1251
4959,368
-20095,-2809
1140,-1228
-6497,-3520
22754,5153
22355,7214
10783,7207
8050,5326
13119,5163
-12571,-1026
5971,1547
-6519,-2290
14160,3485
-2910,37
30710,8802
2825,3486
20836,8563
-579,2221
-24598,-4124
5986,-1021
-3255,-2675
-22769,-5419
3757,-1663
4443,-790
-6002,-681
22560,5484
-13067,-1611
-15348,-2888
-40,-2851
